Journal,Entry #,Deposit Date,Period Posting Date,GL Account,Description,Debit,Credit,BUN
"DD",19,"04/03/2023","04/2023","1051-000","CKS 04/03/2023 Batch 06b49649-e056-4f7c-b178-c5ba2c8b3a18-PARK NUMBER 3",10576.79,,"304",
"DD",19,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch 06b49649-e056-4f7c-b178-c5ba2c8b3a18-PARK NUMBER 3",,10576.79,"304",
"DD",20,"04/03/2023","04/2023","1051-000","CKS 04/03/2023 Batch 154f3820-65e6-48ea-8be3-3e47f50faa3e-PARK NUMBER 3",13548.97,,"304",
"DD",20,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch 154f3820-65e6-48ea-8be3-3e47f50faa3e-PARK NUMBER 3",,13548.97,"304",
"DD",21,"04/03/2023","04/2023","1051-000","CKS 04/03/2023 Batch 40bc5a09-7edf-4bb8-8a67-e62ca1aa9419-PARK NUMBER 3",10762.27,,"304",
"DD",21,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch 40bc5a09-7edf-4bb8-8a67-e62ca1aa9419-PARK NUMBER 3",,10762.27,"304",
"DD",22,"04/03/2023","04/2023","1051-000","CKS 04/03/2023 Batch 92fed4db-5ced-43e2-82c3-6fa8e192e19d-PARK NUMBER 3",11102.90,,"304",
"DD",22,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch 92fed4db-5ced-43e2-82c3-6fa8e192e19d-PARK NUMBER 3",,11102.90,"304",
"DD",23,"04/03/2023","04/2023","1051-000","CKS 04/03/2023 Batch f7e531f7-7f6f-4c2a-9431-40575df92fb2-PARK NUMBER 3",11833.78,,"304",
"DD",23,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch f7e531f7-7f6f-4c2a-9431-40575df92fb2-PARK NUMBER 3",,11833.78,"304",
"DD",24,"04/03/2023","04/2023","1050-000","CKS 04/03/2023 Batch 27379c7a-85f9-4bdd-8172-8d87c9baab81-PARK NUMBER 5",5877.06,,"782",
"DD",24,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch 27379c7a-85f9-4bdd-8172-8d87c9baab81-PARK NUMBER 5",,5877.06,"782",
"DD",25,"04/03/2023","04/2023","1050-000","CKS 04/03/2023 Batch 38c265fa-2576-44fa-b98c-ae99885ee402-PARK NUMBER 5",4580.00,,"782",
"DD",25,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch 38c265fa-2576-44fa-b98c-ae99885ee402-PARK NUMBER 5",,4580.00,"782",
"DD",26,"04/03/2023","04/2023","1050-000","CKS 04/03/2023 Batch 41e11682-e3b7-44f8-ae3c-00f7757f1e5e-PARK NUMBER 5",6336.74,,"782",
"DD",26,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch 41e11682-e3b7-44f8-ae3c-00f7757f1e5e-PARK NUMBER 5",,6336.74,"782",
"DD",27,"04/03/2023","04/2023","1050-000","CKS 04/03/2023 Batch 47de1539-f2a9-4292-814d-e8ff1655b306-PARK NUMBER 5",2144.12,,"782",
"DD",27,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch 47de1539-f2a9-4292-814d-e8ff1655b306-PARK NUMBER 5",,2144.12,"782",
"DD",28,"04/03/2023","04/2023","1050-000","CKS 04/03/2023 Batch febd120d-24e1-436e-b328-7e3231396cb4-PARK NUMBER 5",3005.70,,"782",
"DD",28,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch febd120d-24e1-436e-b328-7e3231396cb4-PARK NUMBER 5",,3005.70,"782",
"DD",29,"04/03/2023","04/2023","1050-000","CKS 04/03/2023 Batch 246913ce-15da-42bf-b5c0-77eff6421010-PARK NUMBER 6",26320.52,,"426",
"DD",29,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch 246913ce-15da-42bf-b5c0-77eff6421010-PARK NUMBER 6",,26320.52,"426",
"DD",30,"04/03/2023","04/2023","1050-000","CKS 04/03/2023 Batch 4104fd7d-040e-4125-88cf-cbd171aad587-PARK NUMBER 7",21396.07,,"399",
"DD",30,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch 4104fd7d-040e-4125-88cf-cbd171aad587-PARK NUMBER 7",,21396.07,"399",
"DD",31,"04/03/2023","04/2023","1050-000","CKS 04/03/2023 Batch 53bf80b5-89ce-498e-997a-fdc489646309-PARK NUMBER 7",21664.90,,"399",
"DD",31,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch 53bf80b5-89ce-498e-997a-fdc489646309-PARK NUMBER 7",,21664.90,"399",
"DD",32,"04/03/2023","04/2023","1050-000","CKS 04/03/2023 Batch 72bfef21-b7e7-40e6-b6eb-a2af1d185cfd-PARK NUMBER 7",8151.32,,"399",
"DD",32,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch 72bfef21-b7e7-40e6-b6eb-a2af1d185cfd-PARK NUMBER 7",,8151.32,"399",
"DD",33,"04/03/2023","04/2023","1050-000","CKS 04/03/2023 Batch a9bb8f59-2a59-4cf6-bd8e-e567bb9847dc-PARK NUMBER 7",20962.13,,"399",
"DD",33,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch a9bb8f59-2a59-4cf6-bd8e-e567bb9847dc-PARK NUMBER 7",,20962.13,"399",
"DD",34,"04/03/2023","04/2023","1050-000","CKS 04/03/2023 Batch bb798867-b1db-4a51-b595-0b75a2594049-PARK NUMBER 7",20532.22,,"399",
"DD",34,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch bb798867-b1db-4a51-b595-0b75a2594049-PARK NUMBER 7",,20532.22,"399",
"DD",35,"04/03/2023","04/2023","1050-000","CKS 04/03/2023 Batch d4a7160c-bf09-4a96-a106-a2844fb82ead-PARK NUMBER 7",21609.16,,"399",
"DD",35,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch d4a7160c-bf09-4a96-a106-a2844fb82ead-PARK NUMBER 7",,21609.16,"399",
"DD",36,"04/03/2023","04/2023","1050-000","CKS 04/03/2023 Batch f1af3de2-086f-411f-b55c-b43993a8b6c2-PARK NUMBER 7",18782.84,,"399",
"DD",36,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch f1af3de2-086f-411f-b55c-b43993a8b6c2-PARK NUMBER 7",,18782.84,"399",
"DD",37,"04/03/2023","04/2023","1050-000","RP : ACH Deposit 03/30/2023-PARK NUMBER 7",1348.67,,"399",
"DD",37,"04/03/2023","04/2023","3400-000","RP : ACH Deposit 03/30/2023-PARK NUMBER 7",,1348.67,"399",
"DD",38,"04/03/2023","04/2023","1050-000","RP : ACH Deposit 03/31/2023-PARK NUMBER 7",3034.91,,"399",
"DD",38,"04/03/2023","04/2023","3400-000","RP : ACH Deposit 03/31/2023-PARK NUMBER 7",,3034.91,"399",
"DD",39,"04/03/2023","04/2023","1051-000","CKS 04/03/2023 Batch aa540757-27f6-4714-80b4-508a96cb8d3e-PARK NUMBER 8 MHP",9830.13,,"274",
"DD",39,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch aa540757-27f6-4714-80b4-508a96cb8d3e-PARK NUMBER 8 MHP",,9830.13,"274",
"DD",40,"04/03/2023","04/2023","1050-000","CKS 04/03/2023 Batch 317a4d78-45ce-4b83-b68a-f38ce5aca15c-PARK NUMBER 9",23740.40,,"212",
"DD",40,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch 317a4d78-45ce-4b83-b68a-f38ce5aca15c-PARK NUMBER 9",,23740.40,"212",
"DD",41,"04/03/2023","04/2023","1050-000","CKS 04/03/2023 Batch 39e5ee31-d048-4a03-a4e9-453e10d14f10-PARK NUMBER 9",24739.09,,"212",
"DD",41,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch 39e5ee31-d048-4a03-a4e9-453e10d14f10-PARK NUMBER 9",,24739.09,"212",
"DD",42,"04/03/2023","04/2023","1050-000","CKS 04/03/2023 Batch b1e4d459-aa8c-47ea-8acb-8dca73a5e4c7-PARK NUMBER 9",26793.55,,"212",
"DD",42,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch b1e4d459-aa8c-47ea-8acb-8dca73a5e4c7-PARK NUMBER 9",,26793.55,"212",
"DD",43,"04/03/2023","04/2023","1050-000","CKS 04/03/2023 Batch c4c05488-1bf2-42f5-ae37-f4d737368a50-PARK NUMBER 9",16409.60,,"212",
"DD",43,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch c4c05488-1bf2-42f5-ae37-f4d737368a50-PARK NUMBER 9",,16409.60,"212",
"DD",44,"04/03/2023","04/2023","1050-000","CKS 04/03/2023 Batch 5fd6059f-909c-4469-9cc7-57f78abe5024-PARK NUMBER 10",48035.98,,"309",
"DD",44,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch 5fd6059f-909c-4469-9cc7-57f78abe5024-PARK NUMBER 10",,48035.98,"309",
"DD",45,"04/03/2023","04/2023","1050-000","CKS 04/03/2023 Batch a87fe525-43f8-4d1e-bf41-d2b80a746429-PARK NUMBER 10",48611.93,,"309",
"DD",45,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch a87fe525-43f8-4d1e-bf41-d2b80a746429-PARK NUMBER 10",,48611.93,"309",
"DD",46,"04/03/2023","04/2023","1050-000","CKS 04/03/2023 Batch f5ad46d6-1f3a-4a2f-84cf-1561d584cecf-PARK NUMBER 10",53151.92,,"309",
"DD",46,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch f5ad46d6-1f3a-4a2f-84cf-1561d584cecf-PARK NUMBER 10",,53151.92,"309",
"DD",47,"04/03/2023","04/2023","1050-000","RP : ACH Deposit 03/30/2023-PARK NUMBER 10",5430.31,,"309",
"DD",47,"04/03/2023","04/2023","3400-000","RP : ACH Deposit 03/30/2023-PARK NUMBER 10",,5430.31,"309",
"DD",48,"04/03/2023","04/2023","1050-000","RP : ACH Deposit 03/31/2023-PARK NUMBER 10",23501.07,,"309",
"DD",48,"04/03/2023","04/2023","3400-000","RP : ACH Deposit 03/31/2023-PARK NUMBER 10",,23501.07,"309",
"DD",49,"04/03/2023","04/2023","1050-000","CKS 04/03/2023 Batch 12cd4013-4b1e-4e59-a02d-2a8d4c534731-PARK NUMBER 11",14219.60,,"398",
"DD",49,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch 12cd4013-4b1e-4e59-a02d-2a8d4c534731-PARK NUMBER 11",,14219.60,"398",
"DD",50,"04/03/2023","04/2023","1050-000","CKS 04/03/2023 Batch 13d613c7-f892-4bfa-82f4-2b24bf96ab0f-PARK NUMBER 11",19555.90,,"398",
"DD",50,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch 13d613c7-f892-4bfa-82f4-2b24bf96ab0f-PARK NUMBER 11",,19555.90,"398",
"DD",51,"04/03/2023","04/2023","1050-000","CKS 04/03/2023 Batch 2b17b123-a55a-437a-950a-1ad3c1d8ad3b-PARK NUMBER 11",18244.17,,"398",
"DD",51,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch 2b17b123-a55a-437a-950a-1ad3c1d8ad3b-PARK NUMBER 11",,18244.17,"398",
"DD",52,"04/03/2023","04/2023","1050-000","CKS 04/03/2023 Batch 3e48906f-23ee-4619-a3f2-5b78fa727ba2-PARK NUMBER 11",18290.52,,"398",
"DD",52,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch 3e48906f-23ee-4619-a3f2-5b78fa727ba2-PARK NUMBER 11",,18290.52,"398",
"DD",53,"04/03/2023","04/2023","1050-000","CKS 04/03/2023 Batch 427b43d4-336a-40f7-aece-63f05d8f6004-PARK NUMBER 11",17822.71,,"398",
"DD",53,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch 427b43d4-336a-40f7-aece-63f05d8f6004-PARK NUMBER 11",,17822.71,"398",
"DD",54,"04/03/2023","04/2023","1050-000","CKS 04/03/2023 Batch 54f99d66-1283-4ec4-9217-7681f12f2c21-PARK NUMBER 11",18676.83,,"398",
"DD",54,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch 54f99d66-1283-4ec4-9217-7681f12f2c21-PARK NUMBER 11",,18676.83,"398",
"DD",55,"04/03/2023","04/2023","1050-000","CKS 04/03/2023 Batch 5c52fcd1-d813-4a19-8691-a377b16d7800-PARK NUMBER 11",17909.20,,"398",
"DD",55,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch 5c52fcd1-d813-4a19-8691-a377b16d7800-PARK NUMBER 11",,17909.20,"398",
"DD",56,"04/03/2023","04/2023","1050-000","CKS 04/03/2023 Batch 5d519e04-6344-4686-a5b2-61fa1bb37278-PARK NUMBER 11",18293.80,,"398",
"DD",56,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch 5d519e04-6344-4686-a5b2-61fa1bb37278-PARK NUMBER 11",,18293.80,"398",
"DD",57,"04/03/2023","04/2023","1050-000","NSF CKS 03/29/2023 Batch 43287a9b-3283-4374-a964-11a6b9fe2390-PARK NUMBER 11",,725.38,"398",
"DD",57,"04/03/2023","04/2023","3400-000","NSF CKS 03/29/2023 Batch 43287a9b-3283-4374-a964-11a6b9fe2390-PARK NUMBER 11",725.38,,"398",
"DD",58,"04/03/2023","04/2023","1051-000","CKS 04/03/2023 Batch 265b0f88-516a-4530-96c7-e739652d21dc-PARK NUMBER 12MHP",18514.49,,"315",
"DD",58,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch 265b0f88-516a-4530-96c7-e739652d21dc-PARK NUMBER 12MHP",,18514.49,"315",
"DD",59,"04/03/2023","04/2023","1051-000","CKS 04/03/2023 Batch b9dd6b49-c5c4-42af-8882-63ad3abc1369-PARK NUMBER 12MHP",15337.74,,"315",
