Journal,Entry #,Deposit Date,Period Posting Date,GL Account,Description,Debit,Credit,BUN
"DD",21,"04/14/2023","04/2023","1050-000","CKS 04/14/2023 Batch f865e54d-ba29-4902-bb95-0f6433c542a5-PARK Village",3760.82,,"402",
"DD",21,"04/14/2023","04/2023","3400-000","CKS 04/14/2023 Batch f865e54d-ba29-4902-bb95-0f6433c542a5-PARK Village",,3760.82,"402",
"DD",22,"04/14/2023","04/2023","1050-000","CKS 04/14/2023 Batch 8787c7ba-d11a-4ceb-b579-656302061cff-PARK Hollow",1810.00,,"781",
"DD",22,"04/14/2023","04/2023","3400-000","CKS 04/14/2023 Batch 8787c7ba-d11a-4ceb-b579-656302061cff-PARK Hollow",,1810.00,"781",
"DD",23,"04/14/2023","04/2023","1050-000","Slip #1 Deposit 04/14/2023-PARK Hollow",1266.53,,"781",
"DD",23,"04/14/2023","04/2023","3400-000","Slip #1 Deposit 04/14/2023-PARK Hollow",,1266.53,"781",
"DD",24,"04/14/2023","04/2023","1052-02-000","CKS 04/14/2023 Batch 6bb98d3f-2bf3-4e72-997a-d5277c80eafe-PARKbrook",520.00,,"413",
"DD",24,"04/14/2023","04/2023","3400-000","CKS 04/14/2023 Batch 6bb98d3f-2bf3-4e72-997a-d5277c80eafe-PARKbrook",,520.00,"413",
"DD",25,"04/14/2023","04/2023","1051-000","CKS 04/13/2023 Batch 01d7cbb5-8111-4ff6-93b5-f8c0904e5131-PARK Grove",1159.56,,"216",
"DD",25,"04/14/2023","04/2023","3400-000","CKS 04/13/2023 Batch 01d7cbb5-8111-4ff6-93b5-f8c0904e5131-PARK Grove",,1159.56,"216",
"DD",26,"04/14/2023","04/2023","1050-000","CKS 04/14/2023 Batch 7627f3b6-b473-41a8-8337-8065ac441fd1-PARK Village",5982.37,,"435",
"DD",26,"04/14/2023","04/2023","3400-000","CKS 04/14/2023 Batch 7627f3b6-b473-41a8-8337-8065ac441fd1-PARK Village",,5982.37,"435",
"DD",27,"04/14/2023","04/2023","1050-000","RP : ACH Deposit 04/13/2023-PARK Village",938.09,,"435",
"DD",27,"04/14/2023","04/2023","3400-000","RP : ACH Deposit 04/13/2023-PARK Village",,938.09,"435",
"DD",28,"04/14/2023","04/2023","1050-000","CKS 04/14/2023 Batch 806aad9b-42bb-44cc-8bfc-883cc7fd3519-PARK La Vista",1451.20,,"430",
"DD",28,"04/14/2023","04/2023","3400-000","CKS 04/14/2023 Batch 806aad9b-42bb-44cc-8bfc-883cc7fd3519-PARK La Vista",,1451.20,"430",
"DD",29,"04/14/2023","04/2023","1050-000","CKS 04/14/2023 Batch e4a5f307-d775-4b83-9cbe-9b501053217c-PARK La Vista",1452.68,,"430",
"DD",29,"04/14/2023","04/2023","3400-000","CKS 04/14/2023 Batch e4a5f307-d775-4b83-9cbe-9b501053217c-PARK La Vista",,1452.68,"430",
"DD",30,"04/14/2023","04/2023","1050-000","CKS 04/14/2023 Batch 5fde9169-58f9-4cd8-b843-20da90a45ace-PARK Verde",4413.10,,"400",
"DD",30,"04/14/2023","04/2023","3400-000","CKS 04/14/2023 Batch 5fde9169-58f9-4cd8-b843-20da90a45ace-PARK Verde",,4413.10,"400",
"DD",31,"04/14/2023","04/2023","1050-000","CKS 04/14/2023 Batch 06a235ff-118f-4ed4-b19a-6e14fe9853ff-PARK Canyon Mobile Estates",1447.00,,"367",
"DD",31,"04/14/2023","04/2023","3400-000","CKS 04/14/2023 Batch 06a235ff-118f-4ed4-b19a-6e14fe9853ff-PARK Canyon Mobile Estates",,1447.00,"367",
"DD",32,"04/14/2023","04/2023","1050-000","CKS 04/14/2023 Batch 811faae3-a7eb-4630-abb4-a0308dc22580-PARK MHP",3354.67,,"417",
"DD",32,"04/14/2023","04/2023","3400-000","CKS 04/14/2023 Batch 811faae3-a7eb-4630-abb4-a0308dc22580-PARK MHP",,3354.67,"417",
"DD",33,"04/14/2023","04/2023","1050-000","CKS 04/14/2023 Batch 3a5350dd-1b8c-4283-a966-15befbd6a290-PARK Mobile Estates",475.00,,"783",
"DD",33,"04/14/2023","04/2023","3400-000","CKS 04/14/2023 Batch 3a5350dd-1b8c-4283-a966-15befbd6a290-PARK Mobile Estates",,475.00,"783",
"DD",34,"04/14/2023","04/2023","1050-000","CKS 04/14/2023 Batch 9e613c24-614c-4d8b-addd-c05aa19abb57-PARK Village",6287.75,,"422",
"DD",34,"04/14/2023","04/2023","3400-000","CKS 04/14/2023 Batch 9e613c24-614c-4d8b-addd-c05aa19abb57-PARK Village",,6287.75,"422",
"DD",35,"04/14/2023","04/2023","1052-01-000","RP : ACH Deposit 04/13/2023-PARK Park",1212.23,,"413",
"DD",35,"04/14/2023","04/2023","3400-000","RP : ACH Deposit 04/13/2023-PARK Park",,1212.23,"413",
"DD",36,"04/14/2023","04/2023","1052-000","CKS 04/14/2023 Batch e431e56b-b228-4cdf-97c0-d90263c4a3ec-WoodPARK Village",4414.55,,"368",
"DD",36,"04/14/2023","04/2023","3400-000","CKS 04/14/2023 Batch e431e56b-b228-4cdf-97c0-d90263c4a3ec-WoodPARK Village",,4414.55,"368",
